Order,Family,Species,Mainly distributed in,% Distribution in MTZ
Psittaciformes,Psittacidae,Amazona oratrix,Mesoamerican dominion,94%
Psittaciformes,Psittacidae,Amazona viridigenalis,Mexican Transition Zone,96%
Psittaciformes,Psittacidae,Ara ambiguus,Pacific dominion,38%
Psittaciformes,Psittacidae,Ara macao,Boreal Brazilian dominion,5%
Psittaciformes,Psittacidae,Ara militaris,Mexican Transition Zone,60%
Psittaciformes,Psittacidae,Aratinga brevipes,Mexican Transition Zone,84%
Psittaciformes,Psittacidae,Aratinga canicularis,Mexican Transition Zone,95%
Psittaciformes,Psittacidae,Aratinga finschi,Pacific dominion,46%
Psittaciformes,Psittacidae,Aratinga holochlora,Mexican Transition Zone,84%
Psittaciformes,Psittacidae,Aratinga nana,Mesoamerican dominion,94%
Psittaciformes,Psittacidae,Aratinga rubritorquis,Mexican Transition Zone,84%
Psittaciformes,Psittacidae,Bolborhynchus lineola,Mexican Transition Zone,40%
Psittaciformes,Psittacidae,Brotogeris jugularis,Pacific dominion,14%
Psittaciformes,Psittacidae,Brotogeris pyrrhoptera,Pacific dominion,0%
Psittaciformes,Psittacidae,Forpus cyanopygius,Mexican Transition Zone,100%
Psittaciformes,Psittacidae,Myiopsitta monachus,Chacoan dominion,0%
Psittaciformes,Psittacidae,Pionus chalcopterus,Pacific dominion,0%
Psittaciformes,Psittacidae,Pionus senilis,Mesoamerican dominion,90%
Psittaciformes,Psittacidae,Pyrilia haematotis,Mesoamerican dominion,76%
Psittaciformes,Psittacidae,Rhynchopsitta pachyrhyncha,Mexican Transition Zone,100%
Psittaciformes,Psittacidae,Rhynchopsitta terrisi,Mexican Transition Zone,100%
Tinamiformes,Tinamidae,Crypturellus boucardi,Mesoamerican dominion,95%
Tinamiformes,Tinamidae,Crypturellus cinnamomeus,Mesoamerican dominion,97%
Tinamiformes,Tinamidae,Crypturellus soui,Boreal Brazilian dominion,4%
Tinamiformes,Tinamidae,Tinamus major,Boreal Brazilian dominion,4%
Trogoniformes,Trogonidae,Euptilotis neoxenus,Mexican Transition Zone,98%
Trogoniformes,Trogonidae,Pharomachrus antisianus,South Brazilian dominion,0%
Trogoniformes,Trogonidae,Pharomachrus auriceps,Pacific dominion,0%
Trogoniformes,Trogonidae,Pharomachrus fulgidus,Pacific dominion,0%
Trogoniformes,Trogonidae,Pharomachrus mocinno,Mexican Transition Zone,96%
Trogoniformes,Trogonidae,Pharomachrus pavoninus,South Brazilian dominion,0%
Passeriformes,Furnariidae,Xenops rutilans,Chacoan dominion,NA
Trogoniformes,Trogonidae,Trogon citreolus,Mesoamerican dominion,100%
Trogoniformes,Trogonidae,Trogon collaris,Boreal Brazilian dominion,7%
Trogoniformes,Trogonidae,Trogon elegans,Mexican Transition Zone,93%
Trogoniformes,Trogonidae,Trogon massena,Mesoamerican dominion,65%
Trogoniformes,Trogonidae,Trogon melanocephalus,Mesoamerican dominion,97%
Trogoniformes,Trogonidae,Trogon mexicanus,Mexican Transition Zone,100%
Trogoniformes,Trogonidae,Trogon personatus,South Brazilian dominion,0%
Trogoniformes,Trogonidae,Trogon rufus,Boreal Brazilian dominion,2%
Trogoniformes,Trogonidae,Trogon violaceus,Boreal Brazilian dominion,7%
